Division,Date,Home_Team,Away_Team,Home_Goals,Away_Goals,Result,Home_Shots,Away_Shots,Home_Shots_on_Target,Away_Shots_on_Target,Home_Corners,Away_Corners,Home_Yellow_Cards,Away_Yellow_Cards,Home_Red_Cards,Away_Red_Cards
SP1,2015-05-17,Espanol,Real Madrid,1,4,A,15,18,3,7,2,5,2,4,0,0
SP1,2015-05-17,Cordoba,Vallecano,1,2,A,14,22,2,10,5,8,0,0,0,0
SP1,2015-05-17,Ath Madrid,Barcelona,0,1,A,10,15,3,5,6,5,5,3,0,0
SP1,2015-05-17,Getafe,Eibar,1,1,D,13,5,3,1,6,4,0,2,0,0
SP1,2015-05-23,Levante,Elche,0,0,D,8,15,0,6,4,4,3,3,0,0
SP1,2015-05-23,Real Madrid,Getafe,7,3,H,18,14,11,6,8,7,2,3,0,0
SP1,2015-05-23,Malaga,Sevilla,2,3,A,16,12,8,6,6,1,3,2,1,0
SP1,2015-05-23,Granada,Ath Madrid,0,0,D,2,3,0,1,4,0,0,0,0,0
SP1,2015-05-23,Vallecano,Sociedad,2,4,A,13,11,3,8,9,2,1,1,0,0
SP1,2015-05-23,Celta,Espanol,3,2,H,10,17,7,3,2,2,2,1,1,0
SP1,2015-05-23,Barcelona,La Coruna,2,2,D,18,10,7,2,4,4,1,3,0,0
SP1,2015-05-23,Ath Bilbao,Villarreal,4,0,H,17,13,8,2,4,5,0,1,0,0
SP1,2015-05-23,Almeria,Valencia,2,3,A,10,9,3,5,3,6,2,4,0,1
SP1,2015-05-23,Eibar,Cordoba,3,0,H,12,15,6,5,4,5,1,0,0,0
SP1,2015-08-21,Malaga,Sevilla,0,0,D,25,10,5,2,7,2,3,3,0,1
SP1,2015-08-22,Vallecano,Valencia,0,0,D,8,10,3,4,3,3,3,1,0,0
SP1,2015-08-22,La Coruna,Sociedad,0,0,D,15,9,5,2,5,4,3,2,0,0
SP1,2015-08-22,Espanol,Getafe,1,0,H,4,14,2,3,5,6,2,3,0,1
SP1,2015-08-22,Ath Madrid,Las Palmas,1,0,H,14,8,3,1,4,4,2,0,0,0
SP1,2015-08-23,Ath Bilbao,Barcelona,0,1,A,8,10,2,4,2,4,3,3,0,0
SP1,2015-08-23,Betis,Villarreal,1,1,D,22,8,6,4,7,5,3,1,0,1
SP1,2015-08-23,Levante,Celta,1,2,A,11,15,2,6,4,6,1,3,1,0
SP1,2015-08-23,Sp Gijon,Real Madrid,0,0,D,6,27,0,8,2,5,4,0,0,0
SP1,2015-08-24,Granada,Eibar,1,3,A,12,10,6,4,6,5,1,6,1,0
SP1,2015-08-28,Villarreal,Espanol,3,1,H,14,4,4,2,2,3,1,6,0,0
SP1,2015-08-29,Barcelona,Malaga,1,0,H,22,4,13,1,15,2,0,3,0,0
SP1,2015-08-29,Celta,Vallecano,3,0,H,11,3,7,0,5,4,2,2,0,1
SP1,2015-08-29,Real Madrid,Betis,5,0,H,21,7,11,1,11,4,3,3,0,0
SP1,2015-08-29,Sociedad,Sp Gijon,0,0,D,12,7,1,2,6,4,4,5,0,0
SP1,2015-08-30,Valencia,La Coruna,1,1,D,12,12,5,3,5,7,2,1,1,0
SP1,2015-08-30,Sevilla,Ath Madrid,0,3,A,25,17,7,7,11,1,3,4,0,0
SP1,2015-08-30,Las Palmas,Levante,0,0,D,16,3,2,2,3,0,2,4,0,0
SP1,2015-08-30,Getafe,Granada,1,2,A,16,9,4,4,6,6,5,3,0,0
SP1,2015-08-30,Eibar,Ath Bilbao,2,0,H,9,9,8,1,11,4,2,2,0,0
SP1,2015-09-13,Ath Bilbao,Getafe,3,1,H,14,11,6,3,12,5,1,4,0,0
SP1,2015-09-13,Celta,Las Palmas,3,3,D,26,9,12,5,7,2,0,3,0,1
SP1,2015-09-13,Granada,Villarreal,1,3,A,13,8,2,5,8,6,2,4,0,0
SP1,2015-09-13,Malaga,Eibar,0,0,D,10,7,4,0,7,3,2,4,0,0
SP1,2015-09-14,Vallecano,La Coruna,1,3,A,8,14,2,8,5,4,2,2,1,0
SP1,2015-09-18,Getafe,Malaga,1,0,H,10,13,4,3,4,7,5,2,0,0
SP1,2015-09-19,Eibar,Ath Madrid,0,2,A,9,14,3,6,1,4,2,1,0,0
SP1,2015-09-19,Real Madrid,Granada,1,0,H,20,12,10,3,10,1,1,3,0,0
SP1,2015-09-19,Sociedad,Espanol,2,3,A,10,18,3,6,7,6,2,3,1,0
SP1,2015-09-19,Valencia,Betis,0,0,D,22,3,5,1,7,1,4,2,0,1
SP1,2015-09-20,Villarreal,Ath Bilbao,3,1,H,14,11,7,2,9,4,4,4,0,0
SP1,2015-09-20,Sevilla,Celta,1,2,A,13,15,5,5,5,5,3,5,0,1
SP1,2015-09-20,Las Palmas,Vallecano,0,1,A,8,17,2,6,3,5,3,5,0,0
SP1,2015-09-20,La Coruna,Sp Gijon,2,3,A,19,4,9,4,8,3,3,3,0,0
SP1,2015-09-20,Barcelona,Levante,4,1,H,21,11,8,4,4,4,0,1,0,0
SP1,2015-09-22,Ath Madrid,Getafe,2,0,H,12,6,3,2,6,1,3,2,0,0
